data,valor
2015-08-03,1472.12
2015-08-04,1466.84
2015-08-05,1464.13
2015-08-06,1455.99
2015-08-07,1451.37
2015-08-10,1454.88
2015-08-11,1453.02
2015-08-12,1452.13
2015-08-13,1452.35
2015-08-14,1451.07
2015-08-17,1453.43
2015-08-18,1450.91
2015-08-19,1448.08
2015-08-20,1451.10
2015-08-21,1451.71
2015-08-24,1451.17
2015-08-25,1449.32
2015-08-26,1449.71
2015-08-27,1456.00
2015-08-28,1458.02
2015-08-31,1458.12
2015-09-01,1452.21
2015-09-02,1450.40
2015-09-03,1449.93
2015-09-04,1447.48
2015-09-08,1447.81
2015-09-09,1442.89
2015-09-10,1431.79
2015-09-11,1425.23
2015-09-14,1425.95
2015-09-15,1430.07
2015-09-16,1430.75
2015-09-17,1433.02
2015-09-18,1425.00
2015-09-21,1417.51
2015-09-22,1412.94
2015-09-23,1404.25
2015-09-24,1393.33
2015-09-25,1398.41
2015-09-28,1388.22
2015-09-29,1393.15
2015-09-30,1400.42
2015-10-01,1408.48
2015-10-02,1410.77
2015-10-05,1410.63
2015-10-06,1410.58
2015-10-07,1416.28
2015-10-08,1418.47
2015-10-09,1420.91
2015-10-13,1418.08
2015-10-14,1419.32
2015-10-15,1416.28
2015-10-16,1415.49
2015-10-19,1416.06
2015-10-20,1417.86
2015-10-21,1415.81
2015-10-22,1419.33
2015-10-23,1417.74
2015-10-26,1421.13
2015-10-27,1421.98
2015-10-28,1423.97
2015-10-29,1431.25
2015-10-30,1430.17
2015-11-03,1437.53
2015-11-04,1437.59
2015-11-05,1438.98
2015-11-06,1441.05
2015-11-09,1439.26
2015-11-10,1443.74
2015-11-11,1444.43
2015-11-12,1442.69
2015-11-13,1442.85
2015-11-16,1453.36
2015-11-17,1456.28
2015-11-18,1455.19
2015-11-19,1462.10
2015-11-23,1461.82
2015-11-24,1463.80
2015-11-25,1457.80
2015-11-26,1452.54
2015-11-27,1447.93
2015-11-30,1452.66
2015-12-01,1445.53
2015-12-02,1453.48
2015-12-03,1440.76
2015-12-04,1441.74
2015-12-07,1447.55
2015-12-08,1447.82
2015-12-09,1449.27
2015-12-10,1447.23
2015-12-11,1442.92
2015-12-14,1441.01
2015-12-15,1441.28
2015-12-16,1371.59
2015-12-17,1395.75
2015-12-18,1400.58
2015-12-21,1400.03
2015-12-22,1405.27
2015-12-23,1406.42
